YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-08,WEEKDAY,10,TRAIN,TE12,5181,7692
2026-08,WEEKDAY,0,TRAIN,DT33,21,2602
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,NS16,10017,27874
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,TE26,12925,11443
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,TE27,4140,4547
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,NS11,3025,17148
2026-08,WEEKENDS/HOLIDAY,18,TRAIN,DT31,4834,5594
2026-08,WEEKENDS/HOLIDAY,8,TRAIN,CC25,2414,2755
2026-08,WEEKDAY,18,TRAIN,EW15,209492,53421
2026-08,WEEKDAY,18,TRAIN,TE27,7136,17061
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,CC11,9260,7038
2026-08,WEEKDAY,20,TRAIN,CC14,4278,7707
2026-08,WEEKDAY,14,TRAIN,NS20,41345,42604
2026-08,WEEKENDS/HOLIDAY,8,TRAIN,SW1,1012,378
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,BP13,33,192
2026-08,WEEKENDS/HOLIDAY,18,TRAIN,PW7,2040,2196
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,SW5,4812,3892
2026-08,WEEKDAY,11,TRAIN,DT4,2675,1003
2026-08,WEEKDAY,18,TRAIN,EW14/NS26,373145,50867
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,BP12,919,1383
2026-08,WEEKDAY,11,TRAIN,DT23,3938,3069
2026-08,WEEKDAY,12,TRAIN,NE17/PTC,40866,41160
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,SW5,4464,3634
2026-08,WEEKDAY,15,TRAIN,NS23,38135,40524
2026-08,WEEKDAY,23,TRAIN,TE1,434,998
2026-08,WEEKDAY,13,TRAIN,DT25,5470,3725
2026-08,WEEKDAY,6,TRAIN,DT13,7193,2831
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,PE3,2664,4509
2026-08,WEEKDAY,9,TRAIN,DT31,17181,7402
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,NS10,20135,18797
2026-08,WEEKDAY,16,TRAIN,NS25/EW13,54666,42008
2026-08,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,43910,23489
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,DT3,3993,3519
2026-08,WEEKDAY,14,TRAIN,TE26,14462,17038
2026-08,WEEKDAY,16,TRAIN,BP5,2136,2240
2026-08,WEEKDAY,17,TRAIN,DT25,8589,7091
2026-08,WEEKDAY,17,TRAIN,PE6,9115,12039
2026-08,WEEKENDS/HOLIDAY,20,TRAIN,CC12,1915,5452
2026-08,WEEKDAY,7,TRAIN,BP7,4452,2509
2026-08,WEEKENDS/HOLIDAY,8,TRAIN,EW28,19695,11462
2026-08,WEEKDAY,10,TRAIN,CC26,3118,3978
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,TE11,1026,2489
2026-08,WEEKDAY,23,TRAIN,DT6,664,1808
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,EW27,29831,28851
2026-08,WEEKDAY,16,TRAIN,NS18,14025,14210
2026-08,WEEKDAY,20,TRAIN,TE11,3216,4766
2026-08,WEEKENDS/HOLIDAY,20,TRAIN,EW32,3230,6047
2026-08,WEEKDAY,7,TRAIN,TE26,11961,6025
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,EW10,8836,11437
2026-08,WEEKDAY,17,TRAIN,EW9,34024,32411
2026-08,WEEKDAY,6,TRAIN,BP13,3893,421
2026-08,WEEKDAY,22,TRAIN,PE7,387,4013
2026-08,WEEKENDS/HOLIDAY,21,TRAIN,BP5,534,940
2026-08,WEEKENDS/HOLIDAY,7,TRAIN,TE28,1270,619
2026-08,WEEKENDS/HOLIDAY,8,TRAIN,EW12/DT14,9712,18762
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,BP3,491,1985
2026-08,WEEKDAY,19,TRAIN,CC32,4103,2194
2026-08,WEEKDAY,14,TRAIN,NE17/PTC,46160,52819
2026-08,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,24836,7490
2026-08,WEEKDAY,16,TRAIN,EW22,25489,8169
2026-08,WEEKDAY,13,TRAIN,DT29,5849,4977
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,CC27,1896,1484
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,TE23,2590,1530
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,NS19,1205,436
2026-08,WEEKDAY,10,TRAIN,BP10,3210,1936
2026-08,WEEKENDS/HOLIDAY,20,TRAIN,DT31,2627,5880
2026-08,WEEKDAY,18,TRAIN,EW27,93875,161742
2026-08,WEEKDAY,5,TRAIN,NS12,7181,1557
2026-08,WEEKENDS/HOLIDAY,20,TRAIN,DT29,1982,5253
2026-08,WEEKDAY,18,TRAIN,NE9,63973,52341
2026-08,WEEKDAY,12,TRAIN,NE5,13039,14765
2026-08,WEEKDAY,8,TRAIN,TE16,15827,17265
2026-08,WEEKDAY,8,TRAIN,TE22,472,2930
2026-08,WEEKDAY,20,TRAIN,PW1,2339,853
2026-08,WEEKDAY,15,TRAIN,DT25,3172,3626
2026-08,WEEKENDS/HOLIDAY,8,TRAIN,CC30,42,65
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,NE9,15658,12370
2026-08,WEEKDAY,17,TRAIN,DT29,11563,13713
2026-08,WEEKDAY,17,TRAIN,SW8,1631,1888
2026-08,WEEKDAY,20,TRAIN,NS3,10575,30283
2026-08,WEEKDAY,22,TRAIN,EW33,1277,2946
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,EW8/CC9,30851,44307
2026-08,WEEKENDS/HOLIDAY,10,TRAIN,EW14/NS26,7462,17052
2026-08,WEEKENDS/HOLIDAY,21,TRAIN,DT7,847,2292
2026-08,WEEKENDS/HOLIDAY,21,TRAIN,TE22,12725,1423
2026-08,WEEKDAY,18,TRAIN,TE18,35444,22753
2026-08,WEEKDAY,22,TRAIN,DT30,1783,12066
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,TE7,5027,2882
2026-08,WEEKDAY,10,TRAIN,TE1,7394,6260
2026-08,WEEKDAY,20,TRAIN,NE8,36481,41465
2026-08,WEEKDAY,19,TRAIN,EW29,36112,14469
2026-08,WEEKDAY,10,TRAIN,TE6,14104,4212
2026-08,WEEKDAY,0,TRAIN,NS10,706,7238
2026-08,WEEKDAY,20,TRAIN,SW7,526,3489
2026-08,WEEKDAY,8,TRAIN,DT24,18145,12224
2026-08,WEEKENDS/HOLIDAY,0,TRAIN,PE3,64,499
2026-08,WEEKDAY,23,TRAIN,NS16,7182,24057
