YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-07,WEEKENDS/HOLIDAY,22,BUS,03529,73,82
2026-07,WEEKENDS/HOLIDAY,6,BUS,46211,651,6552
2026-07,WEEKENDS/HOLIDAY,9,BUS,13081,335,189
2026-07,WEEKDAY,10,BUS,23169,30,6
2026-07,WEEKDAY,1,BUS,67009,0,2
2026-07,WEEKDAY,20,BUS,31039,100,23
2026-07,WEEKDAY,21,BUS,60159,1314,3720
2026-07,WEEKDAY,20,BUS,18279,165,5
2026-07,WEEKENDS/HOLIDAY,13,BUS,84371,114,495
2026-07,WEEKDAY,18,BUS,67189,2258,618
2026-07,WEEKDAY,10,BUS,01559,135,558
2026-07,WEEKDAY,19,BUS,59481,212,694
2026-07,WEEKENDS/HOLIDAY,12,BUS,84259,653,284
2026-07,WEEKDAY,21,BUS,29161,4,2
2026-07,WEEKENDS/HOLIDAY,0,BUS,10021,7,39
2026-07,WEEKDAY,16,BUS,67209,987,1483
2026-07,WEEKDAY,6,BUS,21779,414,521
2026-07,WEEKDAY,15,BUS,66521,301,109
2026-07,WEEKENDS/HOLIDAY,7,BUS,24239,33,325
2026-07,WEEKENDS/HOLIDAY,12,BUS,62159,13,40
2026-07,WEEKENDS/HOLIDAY,12,BUS,53041,1017,868
2026-07,WEEKDAY,9,BUS,29029,226,1369
2026-07,WEEKENDS/HOLIDAY,21,BUS,58529,79,605
2026-07,WEEKENDS/HOLIDAY,21,BUS,25549,0,103
2026-07,WEEKENDS/HOLIDAY,5,BUS,77309,26,2
2026-07,WEEKENDS/HOLIDAY,19,BUS,23429,53,43
2026-07,WEEKDAY,15,BUS,24539,36,7
2026-07,WEEKENDS/HOLIDAY,7,BUS,61101,947,269
2026-07,WEEKENDS/HOLIDAY,9,BUS,83269,56,0
2026-07,WEEKENDS/HOLIDAY,7,BUS,52329,453,256
2026-07,WEEKDAY,7,BUS,50061,225,942
2026-07,WEEKDAY,19,BUS,97201,21,261
2026-07,WEEKENDS/HOLIDAY,15,BUS,71119,253,484
2026-07,WEEKDAY,12,BUS,22251,203,695
2026-07,WEEKDAY,22,BUS,67451,74,92
2026-07,WEEKENDS/HOLIDAY,21,BUS,21761,49,23
2026-07,WEEKENDS/HOLIDAY,16,BUS,85041,129,52
2026-07,WEEKENDS/HOLIDAY,22,BUS,43801,47,243
2026-07,WEEKDAY,16,BUS,58279,670,1438
2026-07,WEEKDAY,23,BUS,03501,908,37
2026-07,WEEKENDS/HOLIDAY,16,BUS,29041,3,1
2026-07,WEEKDAY,22,BUS,72049,240,474
